26667768_2_2	CD4	26667768_2_4	T	6	f
24798119_2_13	T	24798119_2_4	CD4	489	\N
17435771_9_3	CXCR2	17435771_9_7	MIF	700	\N
24312440_3_3	CD4	24312440_3_7	T	1565	\N
23933581_5_46	STIM1	23933581_5_52	TRPC1	1952	\N
21629656_9_4	T	21629656_9_7	CD4	2046	\N
26648785_5_6	CD4	26648785_5_8	T	2931	f
26992033_6_23	KLF5	26992033_6_28	MYOCD	3614	\N
8093416_1_10	CD4	8093416_1_12	T	4205	\N
12048121_7_14	T	12048121_7_8	LCAT	4694	\N
23122642_5_24	ABCC6	23122642_5_26	NT5E	4779	\N
15084924_4_14	CD36	15084924_4_16	CD68	4871	\N
24423365_9_29	APOA1	24423365_9_37	CD36	7212	\N
26088318_1_4	XRCC1	26088318_1_6	ATM	8677	\N
15177263_4_36	LMNA	15177263_4_38	PPARG	8961	\N
15829498_4_102	RPE	15829498_4_92	TLR4	9061	\N
24819318_6_14	MAZ	24819318_6_23	ZNF263	10527	\N
21868014_8_5	ATP2B1	21868014_8_8	DMPK	11707	\N
22371740_4_15	ICAM1	22371740_4_20	OLR1	11889	\N
19596330_3_22	ALOX5AP	19596330_3_32	CAD	12763	\N
18165355_3_14	CX3CL1	18165355_3_9	CCL2	13061	\N
11988625_13_17	MMP3	11988625_13_24	IL6	13265	\N
17922810_6_25	ABCA1	17922810_6_29	IRF1	13445	\N
9693941_9_3	ACE	9693941_9_6	CAD	14423	f
17655870_4_2	PDE4D	17655870_4_4	ALOX5AP	15108	\N
10385492_1_13	CD14	10385492_1_6	T	15394	\N
21193198_10_2	IL5RA	21193198_10_8	NOS3	16563	\N
24931346_6_22	ABCA1	24931346_6_24	ABCG1	18020	\N
27038418_7_38	CCL17	27038418_7_41	IL10	18315	\N
26820803_6_12	TG	26820803_6_6	LPL	18897	\N
3066742_5_5	CSF1	3066742_5_7	CSF2	19211	\N
16682041_9_32	CAD	16682041_9_5	APOA5	0	f
20031538_5_28	CETP	20031538_5_75	LPL	1	f
22703879_9_24	BRCA1	22703879_9_26	BRCA2	2	t
26409626_11_15	NPY	26409626_11_8	TNF	3	f
25273948_3_13	SIRT1	25273948_3_15	FOXO1	4	t
15210959_4_10	ABCG1	15210959_4_12	ABCG4	5	f
24423365_9_39	COBLL1	24423365_9_69	TCF7L2	7	f
25427390_8_20	T	25427390_8_4	APC	8	f
26458874_4_21	PTPN22	26458874_4_4	CSK	9	f
15528481_11_10	T	15528481_11_5	ABCA1	10	\N
23667179_7_18	SRR	23667179_7_23	ICAM1	11	f
24468142_11_12	HR	24468142_11_3	CAD	12	f
21938407_9_29	S100A8	21938407_9_5	CAD	13	f
18775537_11_16	FH	18775537_11_7	ALOX5AP	14	\N
24423365_9_47	INSIG2	24423365_9_55	LPL	15	\N
24998486_11_15	GPI	24998486_11_4	TLR4	16	f
24025248_3_30	TGFBR2	24025248_3_35	CBS	17	\N
25552651_11_11	KNG1	25552651_11_15	F12	18	f
19671930_5_40	CAD	19671930_5_8	LCAT	19	f
15829498_7_25	APOE	15829498_7_32	ABCA1	20	\N
25881720_9_14	PCSK9	25881720_9_34	FH	21	f
22369142_10_20	PPP2R2B	22369142_10_28	SPOCK1	22	f
21888931_5_19	TNF	21888931_5_25	CX3CR1	23	\N
21954592_7_26	APOA1	21954592_7_28	IL1RN	24	\N
24244322_1_4	NLRP3	24244322_1_6	AIM2	25	f
16973241_3_44	LRP8	16973241_3_53	CYP46A1	26	f
24663337_9_20	MMP7	24663337_9_38	S100A8	27	f
19233360_3_13	MMP8	19233360_3_15	MMP13	28	f
20170916_2_21	ABCA1	20170916_2_25	ABCG5	29	\N
22891927_4_20	TNF	22891927_4_38	FH	30	f
26284456_3_2	T	26284456_3_5	CD28	31	f
15186941_12_10	CS	15186941_12_2	PC	32	f
27125366_5_55	CD14	27125366_5_69	CD38	33	f
25585028_2_28	CAD	25585028_2_4	FH	34	f
25012963_6_1	CS	25012963_6_34	TLR4	35	f
25507640_8_20	T	25507640_8_4	APC	36	f
27172975_6_30	CD69	27172975_6_34	T	37	f
27114411_3_22	LPL	27114411_3_3	APOC3	38	f
11283381_5_13	CD68	11283381_5_6	TF	39	f
24423365_9_45	GPAM	24423365_9_59	MC4R	40	f
21741043_13_35	LIPC	21741043_13_44	LRP1	41	t
22313962_5_26	CX3CR1	22313962_5_39	CD4	42	f
24418375_4_21	TNF	24418375_4_3	CD86	43	f
21531341_8_25	CXCL1	21531341_8_4	LPA	44	f
17055512_8_41	CD40	17055512_8_43	ADAMTS1	45	\N
20577898_1_3	CAD	20577898_1_5	ACE	46	f
24069270_5_12	GCKR	24069270_5_6	PNPLA3	47	f
19631729_6_10	IL8	19631729_6_12	ICAM1	48	\N
24007717_1_7	ABCA1	24007717_1_9	APOA1	49	t
27255724_13_17	KPNA4	27255724_13_5	CAD	50	f
22313962_8_15	CX3CL1	22313962_8_38	T	51	f
27470516_1_15	SYNPO2	27470516_1_17	PDLIM7	52	f
9555857_2_14	LPL	9555857_2_36	TG	53	f
19768174_10_22	NPC1L1	19768174_10_30	PCSK9	54	f
16814297_9_3	TNF	16814297_9_5	LTA	55	\N
26257740_7_13	CD74	26257740_7_3	MIF	56	t
22104177_13_23	CD4	22104177_13_5	T	57	f
9749957_10_28	CD36	9749957_10_42	CD14	58	f
22780915_4_32	HMOX1	22780915_4_41	ACTB	59	\N
21215400_10_13	CXCL2	21215400_10_15	CXCL3	60	f
25785032_11_13	TNF	25785032_11_21	GHSR	61	f
25428562_8_20	DES	25428562_8_23	BTK	62	f
24661908_4_22	MPO	24661908_4_7	LCAT	63	f
12627873_2_19	AGT	12627873_2_40	CYP11B2	64	f
25152735_6_0	CCL5	25152735_6_26	CCR5	65	t
23997914_4_10	CAD	23997914_4_25	APOE	66	f
26525543_3_11	FOXP3	26525543_3_3	CD4	67	f
21371711_2_10	CETP	21371711_2_16	LIPC	68	f
22207323_7_4	PTH	22207323_7_54	HR	69	f
24441938_5_4	CD28	24441938_5_8	T	70	f
23135962_4_18	TLR4	23135962_4_9	IL6	71	f
11714860_9_30	FER	11714860_9_4	TG	72	f
22155456_9_25	ABCG1	22155456_9_34	T	73	f
21687917_11_24	ABCA1	21687917_11_31	ABCG1	74	f
16907704_4_22	IRAK4	16907704_4_28	MEFV	75	\N
27569277_4_10	SIRT1	27569277_4_4	NAMPT	76	f
20067962_9_31	TLR2	20067962_9_33	TLR4	77	f
21193198_8_38	NOS3	21193198_8_5	IL5RA	78	f
18550062_8_19	ACE	18550062_8_54	TGFBR1	79	f
22232927_13_11	THBD	22232927_13_9	F7	80	\N
18772067_10_7	FGA	18772067_10_9	FGB	81	t
20448211_9_22	T	20448211_9_41	CD4	82	f
21803849_7_13	CD14	21803849_7_35	IFI30	83	f
18328805_6_13	CD36	18328805_6_18	ABCG1	84	f
17893273_10_20	CCR5	17893273_10_26	CCL5	85	t
25339158_1_12	ACE2	25339158_1_5	ACE	86	f
25939768_5_23	NOD1	25939768_5_25	NOD2	87	t
17712427_1_3	FOXP3	17712427_1_6	T	88	f
